지자체,지역구,지점명,도로명,발생건수,사망자수,보 기,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK
서울,관악구,서울대입구역 사거리,,11,0,,0,1,0,0
서울,관악구,서울대입구역 사거리,,13,0,,0,0,0,0
서울,관악구,원당초 앞 사거리,,15,0,,1,1,0,0
서울,관악구,봉림교 서단 교차로,,8,0,,1,0,0,0
서울,관악구,청암인터그린타워 앞 삼거리,,10,0,,2,1,0,0
서울,관악구,난곡우체국 앞 사거리,,9,0,,0,1,0,0
서울,관악구,양지병원 앞 삼거리(북쪽),,7,0,,1,0,0,0
서울,관악구,동부센트레빌 삼거리(동쪽),,10,0,,0,0,0,0
서울,관악구,롯데백화점(관악점),,8,1,,2,0,0,0
서울,관악구,서울미술고 삼거리(남서),,8,0,,0,0,0,0
서울,관악구,당곡초 부근 삼거리(남쪽),,8,0,,1,0,0,1
서울,관악구,신림동시앤 앞 삼거리,,5,1,,0,0,0,0
서울,관악구,우방아파트 삼거리(102동 앞),,6,0,,2,1,0,0
서울,관악구,은천삼거리(강남고려병원),,9,0,,3,0,0,0
서울,관악구,신대방역(1번 출구),,12,0,,1,2,0,1
서울,관악구,신림동 706-128번지,,7,0,,1,0,0,1
서울,관악구,봉현초 앞 사거리,,5,0,,0,0,0,0
서울,관악구,신림역사거리,,8,0,,0,0,0,0
서울,관악구,신림교 서단 사거리,,7,0,,0,0,0,0
서울,관악구,관악구청 앞 삼거리,,8,0,,0,0,0,0
서울,관악구,선경아파트 부근 사거리(북서),,7,0,,0,0,0,0
서울,관악구,관악구청 앞 삼거리,,8,0,,2,0,0,0
서울,관악구,롯데타워아파트 앞 삼거리,,4,1,,2,0,0,0
서울,광진구,건대입구역교차로,,19,0,,1,0,0,1
서울,광진구,혜민병원 남쪽 삼거리,,5,0,,1,0,0,0
서울,광진구,군자역 사거리(동쪽),,7,1,,1,1,0,1
서울,광진구,군자역 사거리(7번출구),,8,0,,1,3,0,0
서울,광진구,광장극동1차 앞 삼거리(1동),,8,0,,0,0,0,0
서울,광진구,송정동서울숲아이파크(103동),,5,0,,1,0,0,0
서울,광진구,군자역 사거리,,7,0,,1,0,0,1
서울,광진구,중곡사거리(광진구정신보건센터),,7,0,,0,0,0,0
서울,광진구,우편취급소 앞 사거리,,9,0,,0,0,0,0
서울,광진구,구의사거리(어린이대공원),,7,0,,0,0,0,0
서울,광진구,동양파라곤 앞(101동),,6,0,,1,0,0,0
서울,광진구,이마트 앞 삼거리(자양점),,4,0,,1,0,0,0
서울,광진구,군자역 사거리(서쪽),,6,0,,0,0,0,0
서울,광진구,광장극동2차 삼거리(15동 북쪽),,3,0,,0,0,0,0
서울,광진구,성수119안전센터 앞 사거리,,7,0,,0,0,0,0
서울,광진구,역어린이대공원역(4번출구),,9,0,,0,0,0,0
서울,광진구,자양동우체국 사거리(서쪽),,5,0,,0,1,0,0
서울,광진구,우성2차 앞 사거리(202동),,5,0,,1,0,0,0
서울,광진구,성수사거리(청정아파트),,6,0,,3,0,0,0
서울,광진구,비츠로빌딩 앞 교차로,,6,0,,0,0,0,0
서울,광진구,화양사거리,,6,0,,1,1,0,1
서울,광진구,군자동 노상,,4,0,,1,0,0,0
서울,광진구,어린이대공원 부근(북동),,4,0,,2,0,0,0
서울,광진구,어린이대공원 부근(북동),,4,0,,0,0,0,0
서울,광진구,서울화양초 삼거리(남동),,4,0,,0,0,0,1
서울,광진구,자양동 45-23번지 삼거리,,4,0,,0,0,0,0
서울,광진구,건국대 생명고학관 앞,,6,0,,0,0,0,0
서울,광진구,삼성제약빌딩 앞 삼거리,,3,0,,0,0,0,0
서울,광진구,광진구청 사거리(북동),,4,0,,0,0,0,0
서울,광진구,중곡동,,2,1,,0,0,0,0
서울,구로구,디지털단지 오거리(가산파출소),,20,0,,0,0,0,1
서울,구로구,시티월드 삼거리(서쪽),,11,0,,1,0,0,1
서울,구로구,거리공원오거리(신구로현대),,10,1,,1,2,0,0
서울,구로구,대륭포스트타워5차 앞(북쪽),,12,0,,1,2,0,0
서울,구로구,디지털단지입구(미성1동 동쪽),,9,0,,0,1,0,0
서울,구로구,구로소방서교차로(북쪽),,10,0,,1,1,0,2
서울,구로구,개봉사거리(경인중 남동),,8,1,,1,1,0,0
서울,구로구,고척교사거리(동단),,12,0,,1,0,0,0
서울,구로구,남구로역 삼거리(3번출구),,11,0,,0,0,0,0
서울,구로구,에이케이플라자 앞(구로점),,7,0,,0,1,0,0
서울,구로구,거리공원입구(신도림SK뷰),,8,0,,0,1,0,0
서울,구로구,한일유앤아이앞교차로,,9,0,,0,0,0,0
서울,구로구,치킨아리아,,4,0,,0,0,0,0
서울,구로구,구로교 남단 사거리,,6,0,,0,0,0,0
서울,구로구,오류동역앞 삼거리(3번출구),,7,0,,3,1,0,0
서울,구로구,구로구청 앞 사거리(동쪽),,6,1,,1,0,0,0
서울,구로구,영화아파트 삼거리(101동),,7,0,,0,0,0,0
서울,구로구,삼호아파트 앞 사거리(102동),,7,0,,2,1,0,0
서울,구로구,예성라온팰리스 삼거리(102동),,6,0,,0,0,0,1
서울,구로구,구로1교 교차로(남단),,8,0,,0,0,0,0
서울,구로구,오류고 사거리(남쪽),,3,2,,0,0,0,1
