"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"화곡4동우체국 사거리(동쪽)","서울 강서구 곰달래로 265","5","0","","0","0","0","0"
"현대그린아파트 사거리(서쪽)","서울 강서구 화곡동 944-14","8","0","","1","0","0","0"
"신방화사거리(강서공고)","서울 강서구 방화동 834-4","5","1","","0","2","0","0"
"화곡동 111-69번지 삼거리","서울 강서구 화곡동 111-69","7","0","","0","0","0","0"
"가양3-5단지(가양역1번출구)","서울 강서구 가양동 14-26","5","0","","0","1","0","0"
"강서면허시험장 교차로","서울 강서구 내발산동 754-4","4","1","","0","0","0","0"
"명덕고교입구 사거리(남동)","서울 강서구 내발산동 724-41","5","0","","2","0","0","0"
"공항고 사거리(남쪽)","서울 강서구 마곡동 736-2","5","0","","1","0","0","1"
"화원중 사거리(북서)","서울 강서구 화곡동 662-10","6","1","","1","1","0","1"
"화곡사거리(까치산역 3번출구)","서울 강서구 화곡동 662-6","4","0","","0","0","0","0"
"마곡동775-3","서울 강서구 마곡동 775-3","3","0","","0","0","0","0"
"현대시장입구교차로","서울 관악구 봉천동 976-5","10","0","","0","0","0","0"
"봉림교 서단 교차로","서울 관악구 신림동 1467-14","14","1","","2","1","0","0"
"구로교 남단 사거리","서울 구로구 구로동 1119","17","0","","0","1","0","0"
"신림역사거리","서울 관악구 신림동 1642-9","18","0","","0","2","0","0"
"미림여고입구(신성초 부근)","서울 관악구 신림동 289-3","13","0","","1","0","0","0"
"서울시립미술관 사거리(북서)","서울 관악구 남현동 1112","12","0","","0","1","0","0"
"난곡사거리(국민건강사회공단)","서울 관악구 신림동 538","11","0","","1","0","0","0"
"서울대입구역 사거리","서울 관악구 봉천동 859-9","11","0","","0","1","0","0"
"서울대입구역 사거리","서울 관악구 봉천동 859-9","13","0","","0","0","0","0"
"원당초 앞 사거리","서울 관악구 봉천로 505","15","0","","1","1","0","0"
"봉림교 서단 교차로","서울 관악구 신림동 1467-13","8","0","","1","0","0","0"
"청암인터그린타워 앞 삼거리","서울 관악구 신림동 1642-9","10","0","","2","1","0","0"
"난곡우체국 앞 사거리","서울 관악구 신림동 1642-1","9","0","","0","1","0","0"
"양지병원 앞 삼거리(북쪽)","서울 관악구 신림동 1467-5","7","0","","1","0","0","0"
"동부센트레빌 삼거리(동쪽)","서울 관악구 신림동 724-1","10","0","","0","0","0","0"
"롯데백화점(관악점)","서울 관악구 봉천로 209","8","1","","2","0","0","0"
"서울미술고 삼거리(남서)","서울 관악구 남부순환로247길 26","8","0","","0","0","0","0"
"당곡초 부근 삼거리(남쪽)","서울 관악구 보라매로2길 23","8","0","","1","0","0","1"
"신림동시앤 앞 삼거리","서울특별시 영등포구 대림동 973-17","5","1","","0","0","0","0"
"우방아파트 삼거리(102동 앞)","서울 관악구 관천로27길 2","6","0","","2","1","0","0"
"은천삼거리(강남고려병원)","서울 관악구 봉천동 7-17","9","0","","3","0","0","0"
"신대방역(1번 출구)","서울 관악구 신림동 502","12","0","","1","2","0","1"
"신림동 706-128번지","서울 관악구 신림동 706-128","7","0","","1","0","0","1"
"봉현초 앞 사거리","서울 관악구 성현로 117","5","0","","0","0","0","0"
"신림역사거리","서울 관악구 신림동 1467-10","8","0","","0","0","0","0"
"신림교 서단 사거리","서울 관악구 신림동 1642-14","7","0","","0","0","0","0"
"관악구청 앞 삼거리","서울 관악구 봉천동 1693-14","8","0","","0","0","0","0"
"선경아파트 부근 사거리(북서)","서울 관악구 봉천동 981-4","7","0","","0","0","0","0"
"관악구청 앞 삼거리","서울 관악구 봉천동 1570-1","8","0","","2","0","0","0"
"롯데타워아파트 앞 삼거리","서울 관악구 봉천동 1693-29","4","1","","2","0","0","0"
"건대입구역교차로","서울 광진구 화양동 4-9","19","0","","1","0","0","1"
"혜민병원 남쪽 삼거리","서울 광진구 자양로 95-2","5","0","","1","0","0","0"
"군자역 사거리(동쪽)","서울 광진구 능동 275-5","7","1","","1","1","0","1"
"군자역 사거리(7번출구)","서울 광진구 능동 275-5","8","0","","1","3","0","0"
"광장극동1차 앞 삼거리(1동)","서울 광진구 광장동 236","8","0","","0","0","0","0"
