지역구,지점명,도로명,중앙선침범,신호위반,안전거리미확보,불법유턴,과속,안전운전불이행,교차로위반,보행자보호위반,차로위반,직진우회전방해,기타,합계
서초구,트럭터미널앞교차로,서울 서초구 양재동,0,0,3,0,0,6,1,1,0,0,0,11
서초구,서초구민회관 부근 삼거리(남쪽),서울 서초구 강남대로 201,0,1,4,0,0,4,0,0,0,0,0,9
서초구,서울고교사거리(서울고 앞),서울 서초구 효령로 197,1,0,2,0,0,2,0,0,0,0,1,6
서초구,서초I.C(남단),서울 서초구 서초동,0,0,1,0,0,1,0,0,0,0,0,2
서초구,사당역사거리(사당역 앞),서울 동작구 남부순환로 지하 2089,0,0,0,0,0,8,0,0,0,0,0,8
서초구,서울남부터미널 부근(서쪽),서울 서초구 효령로 292,0,1,4,0,0,3,0,1,0,0,1,10
서초구,서초역 부근 삼거리(서쪽),서울 서초구 서초대로 지하 233,0,3,1,0,0,3,0,0,0,0,0,7
서초구,사당역 11번출구 부근(동쪽),서울 서초구 방배동 443-12,0,0,2,0,0,4,0,1,0,0,0,7
서초구,서초역사거리(법원 앞),서울 서초구 서초중앙로 157,0,3,3,0,0,1,0,0,0,0,0,7
서초구,반포역 지상 삼거리,서울 서초구 신반포로 지하 241,0,1,1,0,0,4,1,0,1,0,1,9
서초구,윤봉길의사기념관(남쪽),서울 서초구 매헌로 99,0,0,3,0,0,2,0,0,0,0,0,5
성동구,용비교 동단 삼거리,서울 성동구 금호동4가,0,4,3,0,0,4,1,0,2,0,0,14
성동구,무학여고 앞 사거리,서울 성동구 고산자로 197,1,1,2,0,0,5,0,0,0,0,0,9
성동구,바람의언덕 출입구 앞(서울숲),서울 성동구 성수동1가 683-4,0,3,3,0,0,2,0,0,0,0,0,8
성동구,왕십리역오거리(성동경찰서),서울 성동구 왕십리광장로 9,0,3,1,0,0,2,2,0,0,0,0,8
성동구,논골사거리(행당대림 107동),서울 성동구 행당로 79,0,2,0,0,0,2,1,1,0,0,0,6
성동구,비우당교 남단 사거리,서울 성동구 상왕십리동,0,3,0,0,0,0,0,2,0,0,0,5
성동구,사근램프 앞 교차로(세림아파트),서울 성동구 마장로42길 16,1,1,0,0,0,0,0,0,1,1,0,4
성동구,서울행현초 삼거리(동쪽),서울 성동구 행당로 95,0,2,0,0,0,2,0,1,0,0,0,5
성동구,도선사거리(성동구청 부근),서울 성동구 고산자로 270,0,1,0,0,0,5,1,0,0,0,1,8
성동구,행동1동주민센터 사거리(동쪽),서울 성동구 고산자로10길 18,0,4,2,0,0,2,0,0,0,0,0,8
성동구,자전거도로 한양여대 앞 청계천 자전거도로상,서울 성동구 살곶이길 200,0,0,0,0,0,4,0,0,0,0,0,4
성동구,금남파출소 삼거리(북동),서울 성동구 독서당로 286-1,0,1,1,0,0,4,0,0,0,0,0,6
성동구,월드특수조명,서울 성동구 성수이로3길 11,0,0,0,0,0,2,0,0,0,1,0,3
성동구,행당대림아파트 앞 삼거리(101동),서울 성동구 행당로 79,0,3,0,0,0,0,0,0,0,0,0,3
